Category: All categories

Week,netflix: (Worldwide),youtube: (Worldwide)
2018-12-30,20,98
2019-01-06,17,93
2019-01-13,16,95
2019-01-20,16,96
2019-01-27,16,97
2019-02-03,14,91
2019-02-10,13,95
2019-02-17,14,96
2019-02-24,13,94
2019-03-03,13,92
2019-03-10,13,91
2019-03-17,13,96
2019-03-24,12,91
2019-03-31,12,92
2019-04-07,12,92
2019-04-14,13,90
2019-04-21,12,93
2019-04-28,13,90
2019-05-05,12,94
2019-05-12,12,100
2019-05-19,12,98
2019-05-26,13,100
2019-06-02,13,91
2019-06-09,13,98
2019-06-16,13,98
2019-06-23,13,91
2019-06-30,13,89
2019-07-07,14,93
2019-07-14,15,88
2019-07-21,14,87
2019-07-28,13,89
2019-08-04,13,87
2019-08-11,14,93
2019-08-18,14,91
2019-08-25,13,92
2019-09-01,13,89
2019-09-08,12,89
2019-09-15,13,89
2019-09-22,13,90
2019-09-29,13,90
2019-10-06,13,92
2019-10-13,13,91
2019-10-20,13,91
2019-10-27,13,87
2019-11-03,13,89
2019-11-10,14,89
2019-11-17,13,91
2019-11-24,13,87
2019-12-01,13,89
2019-12-08,13,92
2019-12-15,15,90
2019-12-22,19,92
2019-12-29,21,89
2020-01-05,17,87
2020-01-12,16,86
2020-01-19,16,85
2020-01-26,15,87
2020-02-02,15,85
2020-02-09,15,84
2020-02-16,14,86
2020-02-23,14,83
2020-03-01,14,87
2020-03-08,15,81
2020-03-15,24,90
2020-03-22,30,96
2020-03-29,29,100
2020-04-05,28,99
2020-04-12,26,99
2020-04-19,26,94
2020-04-26,24,94
2020-05-03,22,91
2020-05-10,20,92
2020-05-17,19,87
2020-05-24,20,89
2020-05-31,19,86
2020-06-07,19,87
2020-06-14,17,86
2020-06-21,18,84
2020-06-28,19,79
2020-07-05,18,86
2020-07-12,18,86
2020-07-19,18,85
2020-07-26,17,80
2020-08-02,17,85
2020-08-09,16,84
2020-08-16,18,84
2020-08-23,16,84
2020-08-30,17,89
2020-09-06,18,84
2020-09-13,18,86
2020-09-20,16,89
2020-09-27,16,83
2020-10-04,15,84
2020-10-11,15,82
2020-10-18,16,85
2020-10-25,16,85
2020-11-01,15,79
2020-11-08,16,89
2020-11-15,16,86
2020-11-22,16,83
2020-11-29,17,80
2020-12-06,17,78
2020-12-13,16,86
2020-12-20,19,88
2020-12-27,23,83
2021-01-03,19,83
2021-01-10,18,83
2021-01-17,19,85
2021-01-24,18,83
2021-01-31,18,84
2021-02-07,16,82
2021-02-14,17,82
2021-02-21,15,84
2021-02-28,15,81
2021-03-07,15,86
2021-03-14,14,81
2021-03-21,15,84
2021-03-28,16,79
2021-04-04,16,82
2021-04-11,15,79
2021-04-18,16,80
2021-04-25,15,82
2021-05-02,15,74
2021-05-09,16,81
2021-05-16,15,80
2021-05-23,15,82
2021-05-30,14,77
2021-06-06,14,82
2021-06-13,14,77
2021-06-20,15,77
2021-06-27,15,76
2021-07-04,15,74
2021-07-11,15,76
2021-07-18,15,75
2021-07-25,15,73
2021-08-01,14,72
2021-08-08,14,72
2021-08-15,15,73
2021-08-22,16,77
2021-08-29,15,79
2021-09-05,14,74
2021-09-12,13,79
2021-09-19,14,74
2021-09-26,15,74
2021-10-03,16,75
2021-10-10,16,78
2021-10-17,15,73
2021-10-24,15,74
2021-10-31,15,79
2021-11-07,14,76
2021-11-14,14,83
2021-11-21,14,79
2021-11-28,15,79
2021-12-05,14,78
2021-12-12,14,80
2021-12-19,16,83
2021-12-26,19,77
