Week,Netflix,YouTube,Cluster,Competition_Index,Year
2018-12-30,20,98,1,78,2018
2019-01-06,17,93,2,76,2019
2019-01-13,16,95,2,79,2019
2019-01-20,16,96,2,80,2019
2019-01-27,16,97,2,81,2019
2019-02-03,14,91,2,77,2019
2019-02-10,13,95,2,82,2019
2019-02-17,14,96,2,82,2019
2019-02-24,13,94,2,81,2019
2019-03-03,13,92,2,79,2019
2019-03-10,13,91,2,78,2019
2019-03-17,13,96,2,83,2019
2019-03-24,12,91,2,79,2019
2019-03-31,12,92,2,80,2019
2019-04-07,12,92,2,80,2019
2019-04-14,13,90,2,77,2019
2019-04-21,12,93,2,81,2019
2019-04-28,13,90,2,77,2019
2019-05-05,12,94,2,82,2019
2019-05-12,12,100,2,88,2019
2019-05-19,12,98,2,86,2019
2019-05-26,13,100,2,87,2019
2019-06-02,13,91,2,78,2019
2019-06-09,13,98,2,85,2019
2019-06-16,13,98,2,85,2019
2019-06-23,13,91,2,78,2019
2019-06-30,13,89,2,76,2019
2019-07-07,14,93,2,79,2019
2019-07-14,15,88,2,73,2019
2019-07-21,14,87,2,73,2019
2019-07-28,13,89,2,76,2019
2019-08-04,13,87,2,74,2019
2019-08-11,14,93,2,79,2019
2019-08-18,14,91,2,77,2019
2019-08-25,13,92,2,79,2019
2019-09-01,13,89,2,76,2019
2019-09-08,12,89,2,77,2019
2019-09-15,13,89,2,76,2019
2019-09-22,13,90,2,77,2019
2019-09-29,13,90,2,77,2019
2019-10-06,13,92,2,79,2019
2019-10-13,13,91,2,78,2019
2019-10-20,13,91,2,78,2019
2019-10-27,13,87,2,74,2019
2019-11-03,13,89,2,76,2019
2019-11-10,14,89,2,75,2019
2019-11-17,13,91,2,78,2019
2019-11-24,13,87,2,74,2019
2019-12-01,13,89,2,76,2019
2019-12-08,13,92,2,79,2019
2019-12-15,15,90,2,75,2019
2019-12-22,19,92,1,73,2019
2019-12-29,21,89,1,68,2019
2020-01-05,17,87,0,70,2020
2020-01-12,16,86,0,70,2020
2020-01-19,16,85,0,69,2020
2020-01-26,15,87,2,72,2020
2020-02-02,15,85,0,70,2020
2020-02-09,15,84,0,69,2020
2020-02-16,14,86,2,72,2020
2020-02-23,14,83,0,69,2020
2020-03-01,14,87,2,73,2020
2020-03-08,15,81,0,66,2020
2020-03-15,24,90,1,66,2020
2020-03-22,30,96,1,66,2020
2020-03-29,29,100,1,71,2020
2020-04-05,28,99,1,71,2020
2020-04-12,26,99,1,73,2020
2020-04-19,26,94,1,68,2020
2020-04-26,24,94,1,70,2020
2020-05-03,22,91,1,69,2020
2020-05-10,20,92,1,72,2020
2020-05-17,19,87,0,68,2020
2020-05-24,20,89,1,69,2020
2020-05-31,19,86,0,67,2020
2020-06-07,19,87,0,68,2020
2020-06-14,17,86,0,69,2020
2020-06-21,18,84,0,66,2020
2020-06-28,19,79,0,60,2020
2020-07-05,18,86,0,68,2020
2020-07-12,18,86,0,68,2020
2020-07-19,18,85,0,67,2020
2020-07-26,17,80,0,63,2020
2020-08-02,17,85,0,68,2020
2020-08-09,16,84,0,68,2020
2020-08-16,18,84,0,66,2020
2020-08-23,16,84,0,68,2020
2020-08-30,17,89,2,72,2020
2020-09-06,18,84,0,66,2020
2020-09-13,18,86,0,68,2020
2020-09-20,16,89,2,73,2020
2020-09-27,16,83,0,67,2020
2020-10-04,15,84,0,69,2020
2020-10-11,15,82,0,67,2020
2020-10-18,16,85,0,69,2020
2020-10-25,16,85,0,69,2020
